price,bed,bath,sqft,type,yearbuilt,parking,heating,cooling,area
"$1,495,000",2,null,null,Condo,1964,1 space,Baseboard,No Data,San Francisco
"$1,299,000",2,2,824,Condo,2012,1 space,No Data,No Data,San Francisco
"$3,575,000",3,null,null,Condo,1962,Attached Garage,No Data,No Data,San Francisco
"$625,000",--,null,null,Condo,2018,None,No Data,No Data,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$2,950,000",--,null,null,Multi Family,1900,1 space,Baseboard,No Data,San Francisco
"$701,836",1,null,null,Condo,1924,No Data,No Data,No Data,San Francisco
"$2,980,000",1,null,null,Condo,1962,Attached Garage,Baseboard,No Data,San Francisco
"$1,098,000",1,1,764,Condo,1963,No Data,Baseboard,None,San Francisco
"$1,099,000",1,null,null,Condo,2017,No Data,Forced air,Central,San Francisco
"$1,700,000",2,null,null,Condo,2017,No Data,Forced air,Central,San Francisco
"$1,949,000",4,null,null,Condo,2013,No Data,Forced air,Central,San Francisco
"$1,650,000",3,null,null,Condo,1905,None,No Data,No Data,San Francisco
"$1,475,000",3,2,--,Apartment,No Data,1 space,No Data,No Data,San Francisco
"$10,950,000",6,null,null,Single Family,1914,2 spaces,Forced air,Central,San Francisco
"$1,695,000",2,1,"1,320",Condo,1909,Attached Garage,Forced air,None,San Francisco
"$3,500,000",--,null,null,Multi Family,1909,No Data,No Data,No Data,San Francisco
"$1,598,000",2,null,null,Condo,2012,No Data,No Data,No Data,San Francisco
"$27,500,000",--,null,null,Multi Family,1910,No Data,No Data,Other,San Francisco
"$1,749,000",1,2,"1,590",Condo,1961,Attached Garage,Forced air,None,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$1,275,000",2,null,null,Condo,2014,1 space,Forced air,Central,San Francisco
"$699,000",1,null,null,Condo,1910,None,No Data,No Data,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$3,995,000",3,null,null,Condo,1925,No Data,No Data,No Data,San Francisco
"$1,595,000",2,null,null,Condo,1914,Attached Garage,Forced air,Central,San Francisco
"$1,398,000",2,2,989,Condo,2016,1 space,Forced air,Central,San Francisco
"$13,800,000",6,null,null,Single Family,1900,Attached Garage,Baseboard,No Data,San Francisco
null,null,null,null,null,null,null,null,null,San Francisco
"$1,595,000",2,null,null,Condo,2017,No Data,No Data,No Data,San Francisco
"$25,000,000",4,null,null,Condo,1922,No Data,Forced air,Central,San Francisco
"$541,223",--,null,null,Condo,1930,No Data,No Data,No Data,San Francisco
"$1,100,000",3,null,null,Condo,1962,No Data,Gas,No Data,San Francisco
"$1,250,000",2,2,"1,400",Cooperative,1961,Attached Garage,Forced air,Central,San Francisco
"$1,425,000",2,null,null,Condo,1906,No Data,No Data,No Data,San Francisco
"$3,300,000",5,null,null,Multi Family,1908,No Data,No Data,No Data,San Francisco
"$2,195,000",3,null,null,Condo,No Data,No Data,Forced air,Central,San Francisco
"$2,250,000",--,null,null,Multi Family,1907,No Data,No Data,No Data,San Francisco
"$1,999,888",3,null,null,Single Family,1959,No Data,Forced air,Central,San Francisco
"$2,295,000",8,null,null,Multi Family,No Data,No Data,No Data,Wall,San Francisco
"$2,100,000",10,null,null,Multi Family,1908,No Data,No Data,No Data,San Francisco
"$3,495,000",8,null,null,Multi Family,1900,Attached Garage,Forced air,Central,San Francisco
"$3,995,000",5,5,"3,225",Single Family,1907,No Data,Forced air,Central,San Francisco
"$1,699,000",4,null,null,Single Family,1971,2 spaces,Forced air,Central,San Francisco
"$3,500,000",5,3,"2,755",Condo,1908,1 space,Forced air,Central,San Francisco
"$795,000",1,1,538,Condo,2020,1 space,Forced air,Condo,San Francisco
"$1,095,000",1,null,null,Condo,2003,Attached Garage,Gas,No Data,San Francisco
"$2,600,000",--,null,null,Multi Family,1904,No Data,No Data,No Data,San Francisco
"$1,389,000",2,null,null,Condo,2020,No Data,Forced air,Central,San Francisco
"$1,895,000",2,null,null,Condo,1928,No Data,No Data,Wall,San Francisco
"$3,050,000",--,null,null,Multi Family,1900,No Data,Forced air,Central,San Francisco
"$1,570,000",2,2,"1,144",Single Family,2020,1 space,Forced air,Single Family,San Francisco
"$2,500,000",--,null,null,Multi Family,1900,No Data,No Data,No Data,San Francisco
